trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.9294710545181,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
112,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.77311569248975,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
113,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.5777778100067,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
114,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.65282333132689,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.79176130976573,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.826882858063556,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.76655466591058,"{0: 18, 1: 4, 2: 2, 3: 2, 4: 4}",0
118,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.8277526171665,"{0: 10, 1: 0, 2: 10, 3: 2, 4: 3}",0
119,False,"{'a': 0.5, 'e': 1.0}",35,0,-197.44342397409542,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
120,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.39495991567651,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.26975566738534,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
122,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.87350579985731,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
123,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.48298956924478,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.17039405359478,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 1.0}",20,13,-20.348430896799165,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.476242524524785,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
127,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.56054474834974,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
128,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.56469802415484,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
129,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.40206084585692,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
